"","Ctrl_F1","Ctrl_F2","Ctrl_F3","Ctrl_F4","Ctrl_F5","Ctrl_F6","Ctrl_F7","Ctrl_M1","Ctrl_M2","Ctrl_M3","Ctrl_M4","Ctrl_M5","AIS_F1","AIS_F2","AIS_F3","AIS_F4","AIS_F5","AIS_F6","AIS_M1","AIS_M2","AIS_M3","AIS_M4","AIS_M5","AIS_M6","AIS_M7","AIS_M8","AIS_M9","AIS_M10"
"MIMAT0000265",15.795523670194,15.3148889481424,15.0163847604806,15.268160661233,15.4787139446412,15.2103758364696,15.5103839578617,14.9173191756288,15.0093793622447,15.0765444567999,15.4066901747995,15.3578531093748,14.3787961208741,15.5580335943832,15.3021594138247,15.8560003886048,15.5589840892267,15.2822529140699,15.4289828341715,14.6699657677552,14.9632214248,14.8651727423517,14.2453052846532,15.4488118819681,15.438043707674,15.4473373227276,15.0797665880839,15.0355083779462
"MIMAT0001631",15.3476079041333,15.7735623898154,13.0448640666208,12.507594172538,13.1074821883575,14.7247918955537,13.5216744863507,14.7839002483468,14.700713840988,13.6187946273277,13.5115944883263,12.348970467627,13.052461667721,12.9353359229684,12.4982743127454,11.9502875125304,13.5046157572688,13.7198812297934,13.4516617436408,14.3113710334678,13.6902044054386,13.5179353071158,14.2608792055294,13.1072589492461,13.2599764566762,14.0404507779708,13.3033862920346,13.0439752305711
"MIMAT0000446",13.2345980706699,13.4827244915397,13.5478482632242,14.8328329648884,14.5291968167976,14.3467810209668,14.307635448555,14.0067127441507,13.5110269249126,14.0047604578469,14.01808175982,14.7237149059546,14.2045385624435,14.6527268403354,14.3595914705501,14.3866019153239,14.6399896217258,14.1533150318552,13.6958824585112,14.1361367308592,13.9029459291317,14.0492216758047,13.4457957196042,13.9072321614724,14.0539469276675,14.4576662586519,14.4779945680864,14.1629494193228
"MIMAT0003218",15.4744820181848,14.3633858774463,14.4861620374651,14.4260440252004,14.1078613434179,14.2662079814861,14.1021278562384,14.117847915641,14.5504158393466,14.4990720029327,14.5241662387453,13.414122754536,14.0655660428405,14.5492084961435,14.1250819683608,14.2609800084355,14.4411875931943,13.8244170790258,14.2661317996597,14.2156470723686,13.9581257220841,14.2459431522041,13.4324308873806,14.5205035389511,14.951627176585,14.3240441431557,13.9843422964258,13.711964346858
"MIMAT0000250",13.3571244325074,13.1540580769465,12.9525006456262,12.5449969929183,12.3874551757051,13.1819170860651,13.390208107678,13.130816317414,13.1678448315686,13.1583477156826,13.5299658144557,13.0078478770108,13.0868489088529,13.2804867862534,13.5180451696679,13.6050872330346,13.4633550256369,12.9306622626025,13.6836839416222,12.0686415522026,13.2172405040895,13.2999738663447,12.0261547071077,13.3997420568637,13.5634528374656,13.2430122260499,12.7037449392489,13.3560559662142
"MIMAT0000450",12.337837754507,12.775807837128,12.2903246888441,12.4496248922192,12.7651358131262,12.9736632762591,12.8998232048296,12.9828773688775,13.4701719917769,13.1787012617542,12.7171645719852,12.7630123062611,12.9549564840411,12.8860168287987,12.8969310071457,13.3240432541196,13.32884441199,12.6525897586693,13.205431709562,11.48471052034,12.9293288109884,12.882849350604,12.0234089888531,13.2313961514976,13.3414289421029,12.8379276636492,12.4942547140811,12.9477143934175
"MIMAT0000256_1",5.54623936268124,5.51816982215381,11.1578529372686,11.3288196287187,10.7378200105269,11.9679186494243,6.46565843269583,12.0231687571149,11.6607831396626,11.9904262493473,11.8776674041015,11.9906572166675,5.49394689720821,5.49020002060156,6.39698652985352,12.2501162844297,12.2340603683297,5.50716781001003,5.49774834167766,11.7018546786796,11.95657733481,11.7041166525076,10.785530474461,5.50658706570799,5.49379962385795,5.49103537823349,6.31791329568923,5.4944955374934
"MIMAT0000097",12.3502241866881,12.2510727110238,12.2474894338474,11.9460574173512,12.7542114204715,12.7991699571772,12.2904833861807,12.502394837137,12.9649043855563,12.9364854967302,12.7973615428026,11.9793800727671,12.5077603385923,12.5196586637955,12.8244034865354,12.2907232381016,12.2205664741808,12.3639065206661,12.208302438833,12.8930694634477,12.6891077475367,12.1713683281479,12.7735429724102,11.6380436159204,12.5958374478994,12.6275952218863,12.7501832555156,12.6439464769668
"MIMAT0000422_2",11.9709902665976,12.660703414101,9.443415884808,12.9124088436133,12.6589503549116,12.741711667393,12.3252088061142,12.9927137257842,12.9639943766667,12.9272428310637,12.7172213995072,13.3282411982788,13.5501018588597,12.9450485067677,13.3704910487145,13.0658010019607,13.6907691544178,12.8858841095731,12.4278324772282,12.7414067704849,12.6185445964409,12.1592593751891,11.8655324770693,12.4395718608615,12.1499633443662,12.9502189315356,13.1335903654988,13.1453634319655
"MIMAT0000443",13.5455245464864,12.9514534966792,13.3027115918476,13.1038194572917,13.1107512322287,12.8574636368063,12.9670492253571,12.3734678052398,12.9897863382787,13.1203105217535,13.6234016403104,12.8969606421026,13.0533034718292,13.454293493244,13.0088024523082,12.4691799337109,12.1300457336394,12.9686819053904,13.2948693549298,12.7298438805795,12.8153126046422,12.6486927063528,12.399900317224,12.050848271877,13.6060681943646,13.1795986777701,12.9861280948047,13.0937787502347
