Gene_ID	Ctrl_F1	Ctrl_F2	AIS_M1	Ctrl_M1	AIS_M2	Ctrl_M2	Ctrl_M3	AIS_M3	AIS_M4	AIS_M5	AIS_M6	Ctrl_M4	AIS_M7	Ctrl_F3	AIS_M8	AIS_M9	Ctrl_F4	AIS_M10	Ctrl_M5	AIS_F1	Ctrl_F5	Ctrl_F6	AIS_F2	AIS_F3	AIS_F4	AIS_F5	AIS_F6	Ctrl_F7
ENSG00000082929	139	110	7	219	28	60	12	251	4	284	81	328	29	484	1531	403	25	617	70	13	33	14	503	179	22	153	123	5
ENSG00000115934	1	1	3	2	6	1	3	178	3	5	36	126	2	0	6	6	219	6	0	10	11	9	464	5	2	2	218	0
ENSG00000122043	8	11	10	971	47	13	19	21	172	273	197	16	23	1934	161	27	675	22	59	266	57	22	32	10	421	510	255	12
ENSG00000122548	421	4	187	16	561	1	227	186	3	575	3	8	5	202	12	242	642	3	19	15	8	8	14	215	34	167	0	263
ENSG00000124915	4	24	206	1010	403	138	7	21	187	13	853	595	28	390	600	503	300	378	54	23	1012	675	14	10	319	395	88	4
ENSG00000125514	270	289	399	368	468	272	491	707	88	669	384	196	12	354	234	19	394	15	126	594	383	557	662	320	68	18	482	178
ENSG00000125804	10	250	206	886	32	613	1548.5	25	37	832	908	1457	963	204	242	29	668	212	87	1360	1756	764	588	241	1074	268	139	131
ENSG00000125899	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	353	0	2	1	0	0	0	1	0	133	0
ENSG00000129816	0	1	4	2	2	2	1	197	1	1	2	30	3	50	1	4	3	97	1	1	5	0	1	0	1	158	149	1
ENSG00000129845	407	752	368	489	989	493	248	263	366	473	220	15	867	798	47	1812	27	624	82	440	467	28	17	182	38	488	311	5
ENSG00000130600	1185	756	781	934	1104	370	481	762	405	28	449	836	915	432	278	1003	1864	968	248	791	2290	589	1587	632	906	111	389	807
ENSG00000131484	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	84	0	0	0	0	0	0	0	0	0	0
ENSG00000131538	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0
ENSG00000132204	1504	2774	1720	6504	5254	1565	3697	3622	3211	3451	1725	5516	1786	5838	3781	3079	4072	5881	1124	4657	6661	5621	3957	3530	3077	7252.5	3105	1352
ENSG00000132832	623	663	305	1340	988	407	1057	164	197	457	522	871	932	4046	785	450	1707	654	295	1116	196	2908	638	567	850	2671.480769	742	493
ENSG00000136315	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	27	121	0	1	0	1	0	0	1	0	0
ENSG00000145063	1316	837	619	1137	1750	503	2059	2484	474	1015	346	1075	1001	5659	1489	606	3125	686	578	1169	1761	494	567	884	2043	2672	773	197
ENSG00000146521	82	2	563	5	10	237	407	5	2	7	0	1	8	91	131	622	129	3	1	3	11	2	319	3	392	67	2	1
ENSG00000147753	1	121	3	30	13	203	9	9	475	19	5	65	2	157	34	25	49	22	199	314	15	13	4	5	9	186	4	4
ENSG00000147761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000149656	2545	2409	6959	2996	4630	2518	3592	3135	882	3525	3895	4769	1588	1462	2400	4124	6076	3872	2256	3600	4321	5657	4557	1995	6756	1422	1697	4912
ENSG00000152931	310	359	986	1784.5	67	793	2963	2663	3272	3727	225	232	352	4151.5	3759	68	2829	1729	445.5	2257	2521	47	2070	972	2423	2924.363242	3045	24
ENSG00000153363	1580	500	1238	1239	1593	77	1718	2381	879	1130	840	552	764	2739	6377	3684	976	860	483	1714	2779	1450	479	722	2101	3593	930	582
ENSG00000154537	4	273	341	10	13	5	9	235	0	12	157	307	4	69	3	15	111	132	40	252	16	965	10	225	6	42	8	76
ENSG00000162947	1469	830	743	1180	1343	813	1823	1840	854	1609	1165	2184	1143	1789	621	1938	1557	2067	628	639	1721	2300	2617	1016	1482	1954	1113	1152
