Name,Biotype
ENSG00000082929,processed_transcript
ENSG00000115934,lincRNA
ENSG00000122043,lincRNA
ENSG00000122548,lincRNA
ENSG00000124915,lincRNA
ENSG00000125514,lincRNA
ENSG00000125804,processed_transcript
ENSG00000125899,lincRNA
ENSG00000129816,lincRNA
ENSG00000129845,lincRNA
ENSG00000130600,processed_transcript
ENSG00000131484,lincRNA
ENSG00000131538,lincRNA
ENSG00000132204,lincRNA
ENSG00000132832,lincRNA
ENSG00000136315,lincRNA
ENSG00000145063,lincRNA
ENSG00000146521,lincRNA
ENSG00000147753,lincRNA
ENSG00000147761,lincRNA
ENSG00000149656,lincRNA
ENSG00000152931,lincRNA
ENSG00000153363,lincRNA
ENSG00000154537,lincRNA
ENSG00000162947,lincRNA
ENSG00000163009,lincRNA
ENSG00000163364,lincRNA
ENSG00000163597,processed_transcript
ENSG00000164385,lincRNA
ENSG00000166770,lincRNA
ENSG00000167117,processed_transcript
ENSG00000167459,processed_transcript
ENSG00000168367,lincRNA
ENSG00000168746,lincRNA
ENSG00000170161,lincRNA
ENSG00000170590,lincRNA
ENSG00000170846,lincRNA
ENSG00000170983,lincRNA
ENSG00000172965,lincRNA
ENSG00000173862,lincRNA
ENSG00000174365,processed_transcript
ENSG00000175061,processed_transcript
ENSG00000175728,lincRNA
ENSG00000175746,lincRNA
ENSG00000175772,lincRNA
ENSG00000175773,lincRNA
ENSG00000176075,lincRNA
ENSG00000176320,lincRNA
ENSG00000176515,lincRNA
ENSG00000176659,lincRNA
ENSG00000176728,lincRNA
ENSG00000176754,lincRNA
ENSG00000176840,lincRNA
ENSG00000176912,processed_transcript
ENSG00000177234,lincRNA
ENSG00000177335,processed_transcript
ENSG00000177338,lincRNA
ENSG00000177369,processed_transcript
ENSG00000177596,lincRNA
ENSG00000177757,lincRNA
ENSG00000177788,lincRNA
ENSG00000178107,lincRNA
ENSG00000178130,lincRNA
ENSG00000178243,lincRNA
ENSG00000178248,lincRNA
ENSG00000178412,lincRNA
ENSG00000178440,lincRNA
ENSG00000178457,lincRNA
ENSG00000178722,processed_transcript
ENSG00000178977,lincRNA
ENSG00000179028,lincRNA
ENSG00000179066,lincRNA
ENSG00000179082,lincRNA
ENSG00000179136,lincRNA
ENSG00000179219,lincRNA
ENSG00000179406,lincRNA
ENSG00000179452,lincRNA
ENSG00000179523,lincRNA
ENSG00000179676,lincRNA
ENSG00000179755,lincRNA
ENSG00000179818,processed_transcript
ENSG00000179935,lincRNA
ENSG00000180066,lincRNA
ENSG00000180279,lincRNA
ENSG00000180422,lincRNA
ENSG00000180425,protein_coding
ENSG00000180712,lincRNA
ENSG00000180769,processed_transcript
ENSG00000180861,lincRNA
ENSG00000180869,lincRNA
ENSG00000180910,lincRNA
ENSG00000181798,lincRNA
ENSG00000181908,lincRNA
ENSG00000181995,lincRNA
ENSG00000182057,lincRNA
ENSG00000182165,lincRNA
ENSG00000182366,lincRNA
ENSG00000182586,lincRNA
ENSG00000182648,lincRNA
ENSG00000182776,lincRNA
ENSG00000182824,lincRNA
ENSG00000183250,lincRNA
ENSG00000183385,lincRNA
